"","id","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away"
"66",61,"Wesley","Moraes Ferreira da Silva","Wesley",2,4,"213345.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"67",584,"Pau","Torres","Pau",2,2,"244954.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"68",599,"Moussa","Diaby","Diaby",2,3,"243557.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"69",618,"Omari","Kellyman","Kellyman",2,3,"549068.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"70",670,"Filip","Marschall","Marschall",2,1,"462381.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"71",672,"Nicolò","Zaniolo","Zaniolo",2,3,"245414.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"72",686,"Oliwier","Zych","Zych",2,1,"516159.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"73",699,"Clément","Lenglet","Lenglet",2,2,"171101.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"74",765,"Sam","Proctor","Proctor",2,1,"564505.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"75",767,"Tommi","O'Reilly","O'Reilly",2,3,"515599.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"76",778,"James","Wright","Wright",2,1,"481283.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"77",793,"Kaine","Kesler-Hayden","Kesler-Hayden",2,2,"465390.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"78",803,"Morgan","Rogers","Rogers",2,3,"244850.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"79",818,"Joe","Gauci","Gauci",2,1,"462492.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"80",854,"Finley","Munroe","Munroe",2,2,"521966.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"81",865,"Kadan","Young","Young",2,3,"537403.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
