"","website_short_name","team_name","position","price","total_points","gameweek","minutes_played","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus_points_allocated","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","transfers_balance","selected","transfers_in","transfers_out","first_name","second_name","team_strength","total_xg_conceded","opposition_team","opposition_fixture_difficulty","team_elo","opposition_elo","team_attack_elo","opposition_attack_elo","team_defence_elo","opposition_defence_elo","was_home"
"46","Arrizabalaga","Arsenal","GK","£4.1",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-207,50241,317,524,"Kepa","Arrizabalaga Revuelta",5,0.71,"Man Utd",3,1300,1205,1340,1150,1260,1260,TRUE
"47","Hein","Arsenal","GK","£4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55400,0,0,"Karl","Hein",5,1.52,"Man Utd",3,1375,1135,1400,1100,1350,1170,FALSE
"48","Hein","Arsenal","GK","£4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1321,64836,3835,5156,"Karl","Hein",5,0.17,"Leeds",3,1300,1145,1340,1100,1260,1190,TRUE
"49","Hein","Arsenal","GK","£4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8078,58537,1710,9788,"Karl","Hein",5,0.52,"Liverpool",4,1375,1230,1400,1170,1350,1290,FALSE
"50","Hein","Arsenal","GK","£4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7317,51317,0,7317,"Karl","Hein",5,0.2,"Nott'm Forest",3,1300,1130,1340,1110,1260,1150,TRUE
"51","Hein","Arsenal","GK","£4",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3824,47871,0,3824,"Karl","Hein",5,0.89,"Man City",4,1300,1305,1340,1230,1260,1380,TRUE
"52","Hein","Arsenal","GK","£4",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3374,44510,0,3374,"Karl","Hein",5,0.61,"Newcastle",3,1375,1160,1400,1170,1350,1150,FALSE
"53","Hein","Arsenal","GK","£4",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2897,41629,0,2897,"Karl","Hein",5,0.49,"West Ham",3,1300,1075,1340,1050,1260,1100,TRUE
"54","Hein","Arsenal","GK","£4",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2704,39034,0,2704,"Karl","Hein",5,0.44,"Fulham",3,1375,1090,1400,1080,1350,1100,FALSE
"55","Hein","Arsenal","GK","£4",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1749,37371,0,1749,"Karl","Hein",5,0.47,"Crystal Palace",3,1300,1205,1340,1150,1260,1260,TRUE
"56","Hein","Arsenal","GK","£4",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1888,35449,0,1888,"Karl","Hein",5,0.42,"Burnley",3,1375,1055,1400,1010,1350,1100,FALSE
"57","Hein","Arsenal","GK","£4",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1526,33938,0,1526,"Karl","Hein",5,0.44,"Sunderland",3,1375,1100,1400,1100,1350,1100,FALSE
"58","Hein","Arsenal","GK","£4",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-923,33051,0,923,"Karl","Hein",5,0.07,"Spurs",3,1300,1175,1340,1150,1260,1200,TRUE
"59","Hein","Arsenal","GK","£4",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-773,32283,0,773,"Karl","Hein",5,0.79,"Chelsea",3,1375,1180,1400,1140,1350,1220,FALSE
"60","Hein","Arsenal","GK","£4",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-517,31803,0,517,"Karl","Hein",5,0.35,"Brentford",3,1300,1175,1340,1110,1260,1240,TRUE
"61","Hein","Arsenal","GK","£4",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-609,31205,0,609,"Karl","Hein",5,2.16,"Aston Villa",3,1375,1145,1400,1150,1350,1140,FALSE
"62","Hein","Arsenal","GK","£4",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1348,29841,0,1348,"Karl","Hein",5,0.38,"Wolves",3,1300,1085,1340,1050,1260,1120,TRUE
"63","Hein","Arsenal","GK","£4",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-588,29272,0,588,"Karl","Hein",5,0.2,"Everton",3,1375,1100,1400,1110,1350,1090,FALSE
"64","Hein","Arsenal","GK","£4",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-567,28681,0,567,"Karl","Hein",5,0.85,"Brighton",3,1300,1160,1340,1110,1260,1210,TRUE
"65","Hein","Arsenal","GK","£4",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-345,28379,0,345,"Karl","Hein",5,2.67,"Aston Villa",3,1300,1185,1340,1170,1260,1200,TRUE
"66","Hein","Arsenal","GK","£4",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,28210,0,200,"Karl","Hein",5,1.43,"Bournemouth",3,1375,1150,1400,1100,1350,1200,FALSE
"67","Hein","Arsenal","GK","£4",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-262,27956,0,262,"Karl","Hein",5,0.36,"Liverpool",4,1300,1265,1340,1210,1260,1320,TRUE
"68","Hein","Arsenal","GK","£4",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,27549,0,400,"Karl","Hein",5,0.34,"Nott'm Forest",3,1375,1100,1400,1100,1350,1100,FALSE
"69","Hein","Arsenal","GK","£4",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-194,27373,0,194,"Karl","Hein",5,0.71,"Man Utd",3,1300,1205,1340,1150,1260,1260,TRUE
"70","Setford","Arsenal","GK","£4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13373,0,0,"Tommy","Setford",5,1.52,"Man Utd",3,1375,1135,1400,1100,1350,1170,FALSE
"71","Setford","Arsenal","GK","£4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-533,16324,982,1515,"Tommy","Setford",5,0.17,"Leeds",3,1300,1145,1340,1100,1260,1190,TRUE
"72","Setford","Arsenal","GK","£4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,20855,2209,1960,"Tommy","Setford",5,0.52,"Liverpool",4,1375,1230,1400,1170,1350,1290,FALSE
"73","Setford","Arsenal","GK","£4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786,24801,3875,2089,"Tommy","Setford",5,0.2,"Nott'm Forest",3,1300,1130,1340,1110,1260,1150,TRUE
"74","Setford","Arsenal","GK","£4",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,27540,3043,1638,"Tommy","Setford",5,0.89,"Man City",4,1300,1305,1340,1230,1260,1380,TRUE
"75","Setford","Arsenal","GK","£4",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,28376,2428,1852,"Tommy","Setford",5,0.61,"Newcastle",3,1375,1160,1400,1170,1350,1150,FALSE
"76","Setford","Arsenal","GK","£4",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1019,26881,820,1839,"Tommy","Setford",5,0.49,"West Ham",3,1300,1075,1340,1050,1260,1100,TRUE
"77","Setford","Arsenal","GK","£4",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-883,26701,915,1798,"Tommy","Setford",5,0.44,"Fulham",3,1375,1090,1400,1080,1350,1100,FALSE
"78","Setford","Arsenal","GK","£4",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-688,26279,578,1266,"Tommy","Setford",5,0.47,"Crystal Palace",3,1300,1205,1340,1150,1260,1260,TRUE
"79","Setford","Arsenal","GK","£4",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-948,25474,404,1352,"Tommy","Setford",5,0.42,"Burnley",3,1375,1055,1400,1010,1350,1100,FALSE
"80","Setford","Arsenal","GK","£4",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-962,24778,316,1278,"Tommy","Setford",5,0.44,"Sunderland",3,1375,1100,1400,1100,1350,1100,FALSE
"81","Setford","Arsenal","GK","£4",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-370,25070,414,784,"Tommy","Setford",5,0.07,"Spurs",3,1300,1175,1340,1150,1260,1200,TRUE
"82","Setford","Arsenal","GK","£4",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-369,25190,280,649,"Tommy","Setford",5,0.79,"Chelsea",3,1375,1180,1400,1140,1350,1220,FALSE
"83","Setford","Arsenal","GK","£3.9",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,28146,1112,543,"Tommy","Setford",5,0.35,"Brentford",3,1300,1175,1340,1110,1260,1240,TRUE
"84","Setford","Arsenal","GK","£3.9",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,33152,1858,713,"Tommy","Setford",5,2.16,"Aston Villa",3,1375,1145,1400,1150,1350,1140,FALSE
"85","Setford","Arsenal","GK","£3.9",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,28260,2455,1951,"Tommy","Setford",5,0.38,"Wolves",3,1300,1085,1340,1050,1260,1120,TRUE
"86","Setford","Arsenal","GK","£3.9",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,33449,2651,954,"Tommy","Setford",5,0.2,"Everton",3,1375,1100,1400,1110,1350,1090,FALSE
"87","Setford","Arsenal","GK","£3.9",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,42592,2512,1198,"Tommy","Setford",5,0.85,"Brighton",3,1300,1160,1340,1110,1260,1210,TRUE
"88","Setford","Arsenal","GK","£3.9",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,50506,1828,937,"Tommy","Setford",5,2.67,"Aston Villa",3,1300,1185,1340,1170,1260,1200,TRUE
"89","Setford","Arsenal","GK","£3.9",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,33010,1222,1039,"Tommy","Setford",5,1.43,"Bournemouth",3,1375,1150,1400,1100,1350,1200,FALSE
"90","Setford","Arsenal","GK","£3.9",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,33693,1208,1189,"Tommy","Setford",5,0.36,"Liverpool",4,1300,1265,1340,1210,1260,1320,TRUE
"91","Setford","Arsenal","GK","£3.9",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-765,31793,740,1505,"Tommy","Setford",5,0.34,"Nott'm Forest",3,1375,1100,1400,1100,1350,1100,FALSE
"92","Setford","Arsenal","GK","£3.9",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-527,31211,215,742,"Tommy","Setford",5,0.71,"Man Utd",3,1300,1205,1340,1150,1260,1260,TRUE
"93","Gabriel","Arsenal","DEF","£6",6,1,90,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4,2.7,6,1,1,7,0,0,0,1.52,0,1696374,0,0,"Gabriel","dos Santos Magalhães",5,1.52,"Man Utd",3,1375,1135,1400,1100,1350,1170,FALSE
"94","Gabriel","Arsenal","DEF","£6",6,2,90,0,0,1,0,0,0,0,0,0,0,0,26,13.4,3.3,6,2.3,3,4,0,3,0.04,0.01,0.05,0.17,254939,2292996,335537,80598,"Gabriel","dos Santos Magalhães",5,0.17,"Leeds",3,1300,1145,1340,1100,1260,1190,TRUE
